"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Amount spent (USD)",Reach,Impressions,Frequency,"Link clicks","CTR (link click-through rate)","CPC (cost per link click) (USD)","CPM (cost per 1,000 impressions) (USD)","Instagram profile visits","Instagram follows","IG Follow Rate","Cost Per Follow (CPF)"
2026-06-15,2026-06-15,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,74.54,4821,5161,1.070525,210,4.068979,0.354952,14.442937,188,52,0.27659574,1.43346154
2026-06-14,2026-06-14,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,103.7,42626,46529,1.091564,38,0.08167,2.728947,2.228718,2,0,0,
2026-06-14,2026-06-14,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,102.39,50834,52225,1.027364,73,0.13978,1.402603,1.960555,11,0,0,
2026-06-14,2026-06-14,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,81.51,5247,5575,1.062512,222,3.982063,0.367162,14.620628,192,75,0.390625,1.0868
2026-06-13,2026-06-13,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,99.31,57672,59127,1.025229,89,0.150523,1.115843,1.679605,0,0,,
2026-06-13,2026-06-13,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,83.39,35712,38508,1.078293,43,0.111665,1.939302,2.165524,12,0,0,
2026-06-13,2026-06-13,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,59.32,3609,3771,1.044888,153,4.057279,0.387712,15.730575,124,45,0.36290323,1.31822222
2026-06-12,2026-06-12,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,96.45,41276,42147,1.021102,23,0.054571,4.193478,2.288419,0,0,,
2026-06-12,2026-06-12,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,94,33678,36663,1.088634,19,0.051823,4.947368,2.563893,5,0,0,
2026-06-12,2026-06-12,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,72.28,4747,4952,1.043185,170,3.432956,0.425176,14.596123,136,53,0.38970588,1.36377358
2026-06-11,2026-06-11,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,87.59,40154,41754,1.039847,38,0.091009,2.305,2.097763,0,0,,
2026-06-11,2026-06-11,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,77.99,29767,33932,1.13992,21,0.061888,3.71381,2.29842,4,0,0,
2026-06-11,2026-06-11,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,97.03,6526,6830,1.046583,245,3.587116,0.396041,14.206442,205,66,0.32195122,1.47015152
2026-06-10,2026-06-10,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,87.91,45572,48785,1.070504,54,0.11069,1.627963,1.801988,0,0,,
2026-06-10,2026-06-10,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,112.41,62141,64612,1.039764,107,0.165604,1.050561,1.73977,21,0,0,
2026-06-10,2026-06-10,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,83.39,5120,5612,1.096094,184,3.278689,0.453207,14.85923,147,35,0.23809524,2.38257143
2026-06-09,2026-06-09,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,105.06,57868,60609,1.047366,56,0.092396,1.876071,1.733406,1,0,0,
2026-06-09,2026-06-09,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,84.24,34558,39534,1.14399,27,0.068296,3.12,2.130824,4,0,0,
2026-06-09,2026-06-09,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,34.43,2222,2222,1,132,5.940594,0.260833,15.49505,122,27,0.22131148,1.27518519
2026-06-08,2026-06-08,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,77.98,45018,46085,1.023702,44,0.095476,1.772273,1.692091,15,0,0,
2026-06-08,2026-06-08,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,149.49,99134,101173,1.020568,166,0.164075,0.900542,1.477568,39,0,0,
2026-06-08,2026-06-08,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,66.39,5126,5370,1.0476,368,6.852886,0.180408,12.363128,348,63,0.18103448,1.05380952
2026-06-07,2026-06-07,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,141.5,126193,126193,1,115,0.09113,1.230435,1.121298,15,1,0.06666667,141.5
2026-06-07,2026-06-07,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,98.43,48004,49726,1.035872,33,0.066364,2.982727,1.979447,8,0,0,
2026-06-07,2026-06-07,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,76.33,6272,6454,1.029018,377,5.841339,0.202467,11.826774,366,85,0.23224044,0.898
2026-06-06,2026-06-06,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,25.82,15876,15876,1,10,0.062988,2.582,1.626354,1,0,0,
2026-06-06,2026-06-06,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,113.92,58421,62656,1.072491,34,0.054265,3.350588,1.818182,11,0,0,
2026-06-06,2026-06-06,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,56.1,4377,4377,1,303,6.92255,0.185149,12.816998,302,65,0.21523179,0.86307692
2026-06-05,2026-06-05,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,41.88,24953,25186,1.009338,23,0.091321,1.82087,1.662829,5,0,0,
2026-06-05,2026-06-05,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,105.15,46691,51751,1.108372,50,0.096616,2.103,2.031845,4,0,0,
2026-06-05,2026-06-05,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,78.34,5229,5723,1.094473,257,4.490652,0.304825,13.688625,219,59,0.26940639,1.32779661
2026-06-04,2026-06-04,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,77.42,42978,43856,1.020429,55,0.12541,1.407636,1.765323,7,0,0,
2026-06-04,2026-06-04,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,101.9,39928,46657,1.168528,24,0.051439,4.245833,2.184024,7,0,0,
2026-06-04,2026-06-04,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,79.25,4738,4772,1.007176,268,5.616094,0.295709,16.607293,262,37,0.14122137,2.14189189
2026-06-03,2026-06-03,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,119.79,56059,59268,1.057243,58,0.097861,2.065345,2.021158,6,0,0,
2026-06-03,2026-06-03,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,89.62,39891,43316,1.085859,29,0.06695,3.090345,2.068981,4,0,0,
2026-06-03,2026-06-03,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,78.93,3350,3530,1.053731,190,5.382436,0.415421,22.359773,174,39,0.22413793,2.02384615
2026-06-02,2026-06-02,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,215.22,229140,232814,1.016034,539,0.231515,0.399295,0.924429,43,0,0,
2026-06-02,2026-06-02,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,96.78,47509,52363,1.10217,60,0.114585,1.613,1.848252,10,0,0,
2026-06-02,2026-06-02,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,52.74,2651,2863,1.07997,164,5.728257,0.321585,18.421236,133,20,0.15037594,2.637
2026-06-01,2026-06-01,"[2026] Retailer Support Awareness Campaigns",active,"Using ad set budget",0,189.18,167559,169324,1.010534,363,0.214382,0.521157,1.117266,47,0,0,
2026-06-01,2026-06-01,"[2026] Instagram Awareness Campaign",active,"Using ad set budget",0,59.3,31206,33680,1.07928,18,0.053444,3.294444,1.760689,2,0,0,
2026-06-01,2026-06-01,"[2026] Instagram Engagement Campaign",active,"Using ad set budget",0,60.33,4325,4467,1.032832,213,4.768301,0.283239,13.505709,192,45,0.234375,1.34066667
